,Date,Tags,Comments,
13,2019-08-25,['hiking'],"This was a beautiful place to backpack into for the night. The trail is a very consistent upward climb, and it definitely got me sucking wind, so keep that in mind if you’re not in the best shape. I’d rate it as moderate-difficult. You’ll be crossing water a few times and going over rocks or fallen logs There are lots of places to set up camp when you get there. It’s a beautiful meadow and it was breathtaking to wake up to. We saw a whole family of moose when we woke up playing in the water! (Bull, cow, and two calves). ",
14,2019-08-24,"['hiking', 'bugs', 'over grown', 'rocky']",,
15,2019-08-24,['hiking'],Great hike. Followed a slightly overgrown spur trail off the northwest apex of the lake loop. Took me steeply up to the top of a grassy knob with great views.,
16,2019-08-23,['hiking'],"Lovely hike with amazing wildflowers and wildlife, including deer, birds, moose, and even a badger. I also hiked a spur trail that extended northwest off the apex of the Willow Heights Trail. It was a steep scramble up to the top of a grassy knob with excellent views of the surrounding mountains. Worth it but a pole would have been helpful.",
17,2019-08-21,['hiking'],"This was pretty! Definitely go left when it forks on the way up then we came down the rocky way. The right way is really steep and rocks all on the trail. It was a beautiful hike! Right when I thought I had enough, the lake was suddenly there! Perfect timing! There were ducks and baby ducklings - morning light shining on the lake- really gorgeous!",
18,2019-08-21,['hiking'],"It was a little harder then I anticipated, but I’m also out of shape. It was a beautiful hike. It’s worth it getting to the top. ",
19,2019-08-18,['hiking'],Had to stop and breathe a few times. Lots if wild flowers. small lake/pond this time of year. Saw two moose on the way back down. Fun morning!,
20,2019-08-18,"['hiking', 'rocky']","Pretty good hike. Had to stop a few times to catch our breath from it being steep on the way up. Not really a ""lake"" at the top but more like a small pond with ducks swimming all around. Enjoyed it though and would do it again.",
21,2019-08-18,"['hiking', 'bugs']","parts are a bit washed out, and a out 60/40 shade sun. great little lake as a reward. shore is packed with bugs though.",
22,2019-08-18,['hiking'],The trail forks at the beginning. The right trail is super rocky and steep. The left trail is flat and steep. It’s a good trail for kids though. We saw a coyote and some ducks. The lake is more like a large pond. The scenery is absolutely beautiful. ,
23,2019-08-17,['backpacking'],Great trail for beginner hikers. The first 1/3 of the trail is a little steep for the little ones but then it flattens out. The river crossings in August were easy as most of the water has dried up. Up above the lake was all dry stream beds. Way less water than when I did it in June. Saw 2 moose on the trail and so we went the other way around the lake.,
24,2019-08-14,['hiking'],Short but sweet! Great for a quick after work hike. Love the views of Honeycomb Cliffs from the meadow. Saw a moose right on the trail tonight. Glad he snorted or else I would have totally bumped into him.,
25,2019-08-12,['hiking'],This is a good hike with kids! We saw two moose. It was shaded about 60% of the time! I would do it again. ,
26,2019-08-12,"['hiking', 'rocky']",From the reviews I was expecting more shade. It was decently shady on the way up but not entirely shady. Still very pretty walk though we missed out on the wildflowers which were mostly dying out this weekend. We did see the ducks and baby ducklings which were cute. my 3 year old hiked the whole way carrying his own water but he did get tired on the way down and slipped a few times on the out though that may be due to his needing shoes with more grip. All in all a very nice hike for a Sunday afternoon. ,
27,2019-08-08,['hiking'],"Beautiful hike! Did this one with my 6, 8,11, and 15 year old. it is an incline most of the whole way, but mostly shaded. lots of wildflowers. you do cross the little river a few different times! Once you get closer to the top, it opens up into a beautiful field just before the lake. Turn around and you can see the so much. We saw a huge moose that didnt seem to care we were there. Besides the incline, I loved everything about this hike! breathtaking views! ",
28,2019-08-06,['hiking'],"1 adult and 6 kids ages 4-10 did it in under 2 hours (and a 3 year old who walked part of the time). It was beautiful,  mostly shady and a good amount of incline so you get a workout,  but not too terrible for little ones. had a few bites or stings,  but still worth the beautiful hike. ",
29,2019-08-04,"['hiking', 'bugs']","My wife, 2 year old and I did this trail today. Our two year hiked maybe halfway up on her own and probably would of been able to hike the entire trail if she wasn’t grumpy from hunger and if she didn’t trip on a rock.  The trail is mostly through dense trees with a few small creeks that you have to cross. Near the top there is a large open field where you lose the shade right before you get to the lake. At the lake there is little to no shade around the lake so you are completely exposed to the heat. We found a little shaded area probably 200 yards away the lake that we enjoyed. Overall the hike was pretty easy except for when we had to carry our daughter and the views at the top near the lake were great. This is a hike I’d recommend you wear lots of bug spray and reapply once your at the top. We saw a badger and several squirrels, not too many birds. ",
30,2019-08-04,"['hiking', 'bugs']",did this trail carrying my 1 year old and my 4 year old did it completely on his own. it is consistently inclined so I felt the burn in my not so fit calves but this hike was one of the favorites! the whole hike was shaded until you get to the open meadow right before the lake. views that will make you want to run through the meadow singing the sound of music. wildflowers are in bloom and gorgeous. we will. e coming back in fall to see all the colors it's going to have!,
31,2019-08-04,"['hiking', 'bugs', 'rocky']",,
32,2019-08-04,"['hiking', 'rocky']",litty,
33,2019-08-04,"['hiking', 'muddy', 'rocky']",,
34,2019-08-03,['hiking'],Excellent hike through Aspens and wildflowers. Getting to the lake is mostly up hill but not too bad. Once you get to the “y” it is flat all the way around the lake and through another grove of aspens. Spotted a young bull mouse on this past Thursday ,
35,2019-08-03,['hiking'],Beautiful hike through aspens.  Lots of wildflowers.  Many cute ducklings.,
36,2019-08-03,['hiking'],Great trail! Quite a bit of shade. Pretty lake and lots of nice trees and flowers. A bit steep on one portion of the loop but otherwise not too bad. Definitely would do again.,
37,2019-08-02,"['hiking', 'bugs']",Beautiful area. Lots of wildflowers. Be sure to complete the entire loop. Lots of mosquitoes and deer fly. Wear long pants and long sleeves.,
38,2019-08-01,"['hiking', 'bugs']",,
39,2019-07-30,['hiking'],"Wow so fun. Easy trail with some upticks. So many wildflowers right now. Oh, we saw a momma moose and her valve on the trail so we waited a few minutes while they headed off into the forest. We also saw her on the way back down from the creek. What a great hike",
40,2019-07-30,"['hiking', 'bugs']","7/23/19– Beautiful trail, perfect mid point weather. Some cloud cover but mostly sunny, wasn’t too hot around 12pm. I would rate this more moderate seeing as it is steeper than expected in some parts. We weren’t lucky enough to see a moose, but we saw plenty of butterflies and pot guts! Got a few horse fly/deer fly bites. There were a lot of pesky bugs that wouldn’t leave us alone. 

The lake loop itself was serene and beautiful! Wildflowers are abundant in many varieties and colors this time of year! Definitely would do it again!",
41,2019-07-29,"['hiking', 'bugs', 'over grown', 'rocky']",,
42,2019-07-29,['hiking'],Beautiful hike this morning but giant moose about 10 feet off trail right as we started. Wanted to give some space. May head up in a little. Beautiful weather ,
43,2019-07-28,"['hiking', 'rocky']","Went up today. Lots of wildflowers and butterflies. Really pretty. We missed the moose, but heard from other hikers that there was a mom and calf near the lake. ",
44,2019-07-28,"['hiking', 'bugs', 'rocky']",Awesome hike. We saw two bull moose today and millions of butterflies. The flowers are great and most the hike is well shaded. Ten ducklings and there mama also owned the lake today. They swam right up to my seven year old totally fearless.,
45,2019-07-27,['hiking'],"This trail was amazing. Wild flowers the entire way up and down and a gorgeous meadow with amazing views. It rained on us a little bit at the lake but no downpour. We saw two moose off the trail. Gorgeous aspens and the trail is so lush and the flowers and weeds are very tall. Very fun, even for my 5 and 2 year old. Highly recommend! ",
46,2019-07-25,['hiking'],"My new favorite hike. Absolutely beautiful, not too hot, wildflowers are out. Lots of annoying biting flies but the breathtaking views are worth it. We took a group of kiddos and they did great. We saw a snake, some friendly ground squirrels(?), ducks, and butterflies. No moose. but other hikers we passed saw a momma and baby, and another hiker saw a bull today. The kids got tired, dirty, and out in nature. We all loved it!",
47,2019-07-25,['hiking'],Great loop hike that’s short & steep. The wildflowers are stellar right now!,
48,2019-07-25,"['hiking', 'bugs']","A little buggy, but such a beautiful trail. Short, but a little steep.",
49,2019-07-24,['hiking'],"Absolutely beautiful hike. Wildflowers in bloom and the whole hike was lush green. We came across 3 moose - two cows and a baby. We kept our distance and they didn’t seem too bothered by us. We actually ended up doing both sides of the trail because the moose was blocking our way up on the first one we took. The right fork is steeper with rocks along the trail and the canopy of trees protects you from the sun. The left fork is a little bit longer, not nearly as steep and it seemed like there were less bugs. Either way, the view is phenomenal, you can’t go wrong!",
50,2019-07-24,"['hiking', 'bugs']",,
51,2019-07-24,['hiking'],"The other day my brother and I went on a hike on the Willow Heights Trail. On the way up we went on the path to the right, it turned out to be rocky and a little challenging, but it wasn’t too bad. We got to the lake and took a short rest. We took the other path on the way down, it was a lot easier and it was kind of nice to cross the stream a couple times. We saw a moose a ways off the trail, it didn’t seem to pay any attention to us as we passed by. We also saw a few chipmunks or squirrels and lots of flowers. There were lots of flies which were annoying, but they were only really bad in a couple spots. It was nice to get out and away from the city. It felt refreshing to get out in nature and to be in the forest. I hope to go up again later in the year when the leaves are changing color. I had a good time and really enjoyed our hike. ",
52,2019-07-22,"['hiking', 'bugs']","Great trail, beautiful wildflowers, saw a cow moose!",
53,2019-07-21,"['hiking', 'bugs']",,
54,2019-07-18,['hiking'],"Please, if you go here, be moose aware. Don't let your small children wander around, and yes, it's nice to look at the lake, but be aware of what is behind you. 

I uploaded a picture of a bull  moose I saw yesterday. Yes, I look right next to the moose, but that's what zoom is for on cameras.  I've photographed hundreds of moose, all safely from a distance, and all from cover. Yesterday I also saw a couple examples of what NOT to do around a moose, that I see all too often when people see one.

When I got there I looked over to the opposite side of the lake, but the bull must have been just out of view behind the bushes to the northeast corner of the lake. I went around clockwise, and when I got around to the duck standing rock on the north side (which had a mother and her babies on it) I was going to take a picture and then noticed the bull browsing down the trail, just having come into view, as I went over the small rise in the middle of the north side of the lake.

I watched, photographed, and did video of him for about 20 minutes, hoping he would go down for a swim. The first bad example was two people who came around from the other direction. They kept slowly creeping closer, until I yelled they were probably getting too close. They then tried going up in the trees above the trail, but that spooked him and he ran off to the willows.

They were too close and totally exposed. They may not have known it, but from where the bull was eating, one normal place he would try to escape would be the corner of the willows, which were only feet from they were standing. With them standing there, he might go somewhere different (up into the trees) but he might be intent on getting to the willows. I yelled at them they were getting too close, which is when they went up to the trees (at least they had protection) but their noise of breaking brush and sticks in walking through there also spooked him.

The second bad example is that there was a family with small children at the northwest corner of the lake watching ducks, unaware that the bull was just over the small rise from them on north side of the lake. The mother and two children (probably about 3 and 5) came over to investigate when I yelled at the other couple they were too close. The kids were at least 60 feet in front of the mother, standing in the middle of the trail, also exposed. The mother seemed unconcerned and apparently told the kids to come back, and then she turned her back and walked away, leaving the kids standing there staring at the moose for at least another 10-15 seconds before they followed her. For all she knew, they could have walked on toward the moose.

This was while the other couple were in the trees trying to go around the moose, and making noise. I thought if he was spooked (which he was) that he would head to the willows, but you never know. He could just have easily have decided to run down the trail, where the small kids were (not seeing them as a threat), and the mother had turned her back on the moose (and her kids) and was walking away.

PLEASE, if you see a moose, the first thing is to find cover. They can run 35 mph. If you are exposed, they could be on top of you before you got a couple steps. Find a group of trees that they can't get between, and that you could maneuver around if necessary. Bulls are *normally* docile this time of year, just interested in eating, but by early September the rut will start, and may charge any random thing. This time of year a cow with a calf is more dangerous. If they look at you and stare, you are too close. If they continue what they were doing then you are probably a safe distance (behind cover).

Remember, you are in THEIR house. Don't get too close that you cause them to change what they were doing (eating or resting). If they change what they were doing, YOU ARE TOO CLOSE. Don't yell and wave your arms (as I have seen some people do) to get them to move off the trail so you can continue walking around the lake. Turn around and go back if you can't wait for them to move. The options for couple #1: (1) move safely up into the trees a distance from the moose, and quietly wait for the moose to finish eating and go which ever way he wants. Don't try to walk through all the brush and sticks to go around, as the noise will spook the moose (as they did). (#2) Turn around and walk 3/4 of the back around the lake they had just walked, if they couldn't wait for the moose to move. As for the mother with the small children, they should never have been 60 feet in front of her, and she should never have turned her back on the moose, especially leaving her kids just standing there staring.

If you see a moose, don't disturb them, or make them change what they were doing. Remain quiet, and photograph them safely from cover and a distance. ",
55,2019-07-17,['hiking'],"This was a gorgeous trail!  It was definitely steep at the beginning and the end for this flatlander family. Kid friendly for sure, our 11 & 7 year olds rocked it. There were a couple of awesome camping spots for anyone that wants to pack it in. It was absolutely beautiful all the way around, not just at the lake. We would do it again and even camp overnight there, or bring a couple of hammocks, a good book and have a picnic. ",
56,2019-07-17,['hiking'],"This hike is very pretty but the first part is steep! Even though it is fairly short in distance, I find the ascension to be pretty difficult. This is a great place for backpacking and camping or even just hammocking for a few hours. ",
57,2019-07-15,['hiking'],"Uphill towards the beginning, otherwise totally manageable. Beautiful hike the whole way with some good views of solitude! ",
58,2019-07-15,['hiking'],"Great hike, especially for the younger kids. We took the trail to the right, and my 4 and 7 year old could climb the small boulders that were on the trail. It was a great trail to hike! ",
59,2019-07-15,['hiking'],"Beautiful. Was easy for experienced hikers, a little steep grades and rocky terrain. So ones with health issues may not be able to go. Worth the hike for the views. ",
60,2019-07-12,['hiking'],"Was a good hike! Took a 5,10 and 12 year old. The right of the trail is quite steep and the 5 year old had some moments!! I would suggest going up and down the left side with kids. There are 2 fun river crossing points. Beautiful lake and great picnic view at the top! ",
61,2019-07-12,['hiking'],Easy doable hike. Saw moose,
62,2019-07-07,['hiking'],"Easy hike to do with a toddler in a backpack. When heading up the trail, stay to the left for a more gradual incline. Also, be careful of stinging nettle around the lake.",
63,2019-07-06,['hiking'],Great evening hike. Steep for the first .75 miles. ,
64,2019-07-05,['hiking'],Great for toddlers and family time :),
65,2019-07-04,['hiking'],Go Left! Awesome trail and beautiful lake view.,
66,2019-07-03,['hiking'],"Took my three kids (4, 2.5, 7 months) by myself. It was doable but highly recommend staying right to start the hike. Going up the steep way is much easier than coming down (especially for the youngsters).

We took a break in the shade on the way up and then ate lunch up by the lake. There is a grove of trees with a campsite in them and a short trail leading up to them. Great lunch spot to overlook the lake and the rest of the scenery. 

We stayed right on the way down and came down the less steep route. It had two stream crossings that the kids loved. If your kids are as into throwing rocks into lakes/creeks as mine are I would say this isn’t the perfect hike. But it was definitely beautiful. ",
67,2019-07-03,['hiking'],beautiful amazing!!,
68,2019-07-03,['hiking'],Nice quick hike. Saw a squirrel. He kept to himself.,
69,2019-07-03,['hiking'],"Took the kids (16,13,11,9) yesterday, 7/1, on this beautiful hike.  We stumbled across a geocache near the trail sign that has a great poem about the history of the place.  Then there was a song strapped the big tree near where the trail splits also about “the Willow Patch.”  We opted to take the trail on the right and go up the steep way.  The scenery is SO GORGEOUS!  Aspen groves are heavenly, especially with a carpet of wildflowers underneath.  The view of Solitude before you get to the lake is amazing.  The lake itself is so-so with zero shade around it, but it does have some rocks for sitting on while you eat a snack.  We went down the less steep trail, and the kids liked the stream crossings.  I think the other side of the trail is prettier, but going down this way is easier on the knees.",
70,2019-07-02,['hiking'],Beautiful hike! It was fairly easy and pretty short will be coming here more! Ran into so much wild life and enjoyed every second of it.,
71,2019-06-29,['hiking'],"Beautiful trail, especially on a hot day (lots of shade). Fairly easy, except for the smallest of hikers. We had a 4-year-old in our group who we didn’t carry. We took many breaks on the way to the lake, as the elevation is a little steep for little legs, but he was able to do it without too much trouble. ",
72,2019-06-29,['hiking'],"Beautiful hike. It's a loop around, make sure you walk through the aspen trees. Wildflowers are just starting to bloom but in the next couple weeks it'll be amazing. Great view of snow-capped mountains. The trail was well marked.",
73,2019-06-29,"['hiking', 'bugs', 'muddy']",,
74,2019-06-28,['hiking'],easy hike for the kids. we went up the rocky way and down the easy way. the easy way has 2 water crossings that took a little extra time with little kids,
75,2019-06-27,['hiking'],"This trail was beautiful. So peaceful with all the water flow! We went left at first fork and it made for a pretty easy hike. This trail is perfect for a hot day because it’s very shaded. Apparently there was a moose sighting from other hikers, but unfortunately other hikers were too loud and scared the moose away",
76,2019-06-26,['hiking'],"The trail is marked by a rock with engravings with the name Willow Heights. The trail splits into two different trails. The left one is easier and not a steep climb. You cross a couple small streams but there are some logs to walk across. The right trail is the rocky, steep one but it goes through some beautiful trees and is pretty scenic. That trail I would say is a moderate hike. The ""lake"" is more like a larger pond. It was very serene and there was no one else there when I went on 6/25. ",
77,2019-06-26,['hiking'],beautiful hike. Aspen trees were beautiful. Lake kind of small. great views. I would call this moderate not easy. ,
78,2019-06-25,['hiking'],It is a beautiful hike but one of the trails is definitely not easy. There is a trail fork shortly after the start and the trail to the left is a lot easier but you have to cross the creek twice. The trail to the right is pretty steep with plenty of lose gravel and rocks. The views up there are awesome.,
79,2019-06-24,['hiking'],it's a must!,
80,2019-06-24,['hiking'],Quite steep for an “easy hike”. Some stream crossings were tricky with the amount of water right now. But worth it for the views! ,
81,2019-06-24,['hiking'],We parked at the entrance to the neighborhood and cut through there to skip that first rocky part. Still kind of muddy but people have made some great log bridges to get off the little rivers and streams.,
82,2019-06-21,['hiking'],Lovely hike. Beautiful river flowing next to you makes the ascent a little easier. This is a quick hike but a great workout. We were lucky enough to see two moose cross the road .5 miles before the trailhead. ,
83,2019-06-21,['backpacking'],,
84,2019-06-19,['hiking'],"Beautiful, beautiful, beautiful, no doubt about it....but this is NOT an easy hike. It's pretty straight up over a rocky path. I'd rate it as moderate. ",
85,2019-06-16,['camping'],Great little hike with a number of informal camp spots around the lake. This was a great first backpacking trip for my 8 year old daughter. She loved it!,
86,2019-06-15,['hiking'],"The trailhead isn't super obvious, and there is no parking lot to start from, just park on the street. Absolutely beautiful hike. Very steep to start, but well worth the hike. Very short, very rewarding hike with decent creek crossings, definitely plan on getting your feet wet. Absolutely beautiful lake and not too many people for a Saturday morning. No snow, no mud.",
87,2019-06-10,"['hiking', 'muddy', 'snow']","Great hike with my four and seven-year-olds. Had a few sketchy river crossings with the Highwater, but I imagine that will die down within a week or two. The only snow was at the highest elevation around the lake.",
88,2019-06-10,"['hiking', 'washed out']","Nice hike! We did the loop but the trail was washed out in several spots. We were able to find logs to walk over in after hiking upstream, but we were finally stumped 3/4 of the way back down and we had to cross the meadow to merge onto the original trail. Overall, it was a fun hike with beautiful views at the lake. ",
89,2019-06-06,['hiking'],"It was steep at first and the leveled out. I I took my 14 year old son, 12 year old son, 10 year they all had a blast daughter ",
90,2019-06-05,"['hiking', 'snow']",nice easy hike. great for kids. a bit snowy at the lake ,
91,2019-06-03,"['hiking', 'muddy', 'over grown', 'rocky', 'snow']",Good trail,
92,2019-06-02,"['hiking', 'muddy', 'off trail', 'rocky', 'snow']","The lake still looks very nice at this time of the year. Closer to the top the trail is covered in snow, doable with hiking shoes. The snow also makes it hard to know which way the trail is going, so we went off trail a few times. The scenery was nice. We got to see a deer and lots of what looked like chipmuncks. ",
93,2019-06-02,[''],"I did this trail 6/1/19 and most the snow was melted but the trail was a bit muddy in places. If you're not use to high elevation, the 600 elevation gain from about 8,000 feet can be challenging. The trail forks and it isn't clearly marked how to loop around to the lake so I had to do some back tracking. Overall a pleasant trail that gives you a decent workout for a quick hike. ",
94,2019-06-01,"['muddy', 'rocky', 'snow']",This was a pretty nice trail. the left branch from the sheet music is very rocky and a pretty steep climb at first. Still a lot of snow in the forest near the top. We were post holing pretty much every three or four steps and the trail is you best guess at that point. The snow isn't quite as bad on the way back down the other side and ends shortly after the second stream crossing. Lake was pretty. Overall a nice hike but I would love to see it once the snow melts. It is one of the only lake trails we could find to do with so much snow at the higher elevations.,
95,2019-05-26,"['hiking', 'muddy', 'off trail', 'rocky', 'snow']",Great trail that has elevation gain very quickly. Lots of snow after a while and trail is not clear marked by the lake but it’s beautiful!,
96,2019-05-24,"['hiking', 'muddy']","Pretty views. Small lake, good quick hike. There was still a ton of snow on 5/21 :) ",
97,2019-05-13,"['hiking', 'muddy']",,
98,2019-04-29,['hiking'],"I went on Saturday around 10am, wasn’t crowded at all. It was a short hike, lil steep at the beginning and levels out towards the end. Snow hasn’t cleared yet, would recommend snow shoes. View was amazing and it was peaceful at the lake.",
99,2019-02-25,['snowshoeing'],Nice area for a quick snowshoe experience. Lots of areas above the lake to also explore,
100,2019-02-24,"['hiking', 'off trail']",,
101,2019-02-03,['snowshoeing'],"Went in early January. Hike was pretty, but the pond was covered in snow. It was somewhat anticlimactic, but still stunning!",
102,2019-02-02,['snowshoeing'],Nice trail for a quick hike or snowshoe. There are many moose in the area.,
103,2019-01-27,['hiking'],Beautiful hike! It was a gorgeous sunny day and we needed snowshoes. But it was so worth it. It was steep in the beginning and I struggled. But I’m a brand new hiker to the area. Would definitely go again!!,
104,2019-01-20,['hiking'],"Nice hike. I left my snowshoes in the car, but packed some crampons. The steep part of the trail (first quarter mile) was nicely packed, and I only used my crampons for one short steep section on the way down. that said, the flatter portions, particularly near the lake, were doable, but tough going with quite a bit of sinking in a few spots. If you have lightweight snowshoes, I recommend packing them up the hill and putting them on once things level out.",
105,2019-01-11,[''],"We hiked this yesterday in a light snow. It’s a quick hike, although the path is quite steep and the snow cover makes it a bit slippery. The forest is gorgeous to walk through. I want to return on a clear day in the summer to see the lake and the view.",
106,2019-01-07,['hiking'],"This is a great trail to hike. The first part does get steep, but the views are well worth it. I've done this in early summer and late fall, and both times have been great, though early summer was a little swampy.",
107,2018-12-25,['snowshoeing'],"Fun, short hike on Christmas afternoon. Very peaceful—we only saw 2 other small groups (and one was as we were just finishing up). The first 1/4 mile is pretty steep! I hiked without snowshoes because the trail was packed enough, but the incline did get slippery. Spikes or crampons probably would have been ideal. In the snow, the incline might be a little tricky for young kids. The mountain was beautiful and the hike was in the sun the entire time. No need for snow pants or snow jackets—just a few warm layers! The lake is completely covered in snow, so the real showstopper was the view of the resorts on the other side of the road! No wildlife (this time) but a few bunny tracks.",
108,2018-12-18,['hiking'],"Hiked this trail this morning in boots on a solid snowpack. The trail was well defined  after a plenty of hikers went through. It is steep in the first section, but short. It then opens up to a large flat area. Absolutely beautiful winter vistas and frozen Aspen groves.",
109,2018-12-15,['hiking'],Had to turn back because one of our group from Arizona started getting altitude sickness and asthma.,
110,2018-11-10,[''],"I brought two 11 year olds and an 8 year old. The trail got a little bit muddy as it got warmer. Overall, it was really fun and beautiful.

November 10,2018",
111,2018-11-09,['hiking'],Good casual hike. Negligible snow. Minimal ice and mud. Lake was frozen over but not enough to walk on.,
112,2018-10-28,['hiking'],"This is a great hike for beginners or those looking for a short but scenic hike. The majority of the trail is through beautiful aspens and there are great views of the mountains on the opposite side of the canyon. Parking is easy and safe due to the long, wide shoulder. As of 10/27/18 all of the leaves have fallen, there are patches of snow, and the lake is low.",
113,2018-10-14,['hiking'],"Very beautiful. We saw two moose, ducks, and a woodpecker. Definitely steep for the first half.",
114,2018-10-11,['hiking'],"Lol... this one is steeper than some rated hard on here. It’s just short. I’d say this is moderate, because of the steep part. It’s really not hard, but still a lot steeper than some others rated lower. Decent view.",
115,2018-10-03,['hiking'],Incredible hike through a wonderful Aspen forest. The lake is worth the hike. So peaceful. We talked with a local or two who said that this is a great place to spot moose. Sadly we didn’t see any. We did the hike with a 7 year old and were from Louisiana. Great hike for beginners. When you get to the Y in the trail the left path is a bit easier terrain.,
116,2018-10-02,[''],"Loved this hike fall colors were great there was 
a lot of moose activity 
I think the AllTrails description of
 “lightly trafficked “ is off I would call it moderate to heavy and it was a Monday night when I went I can’t imagine what it looks like on the weekend. 
I will be back love this area",
117,2018-10-02,[''],"Really loved this hike!   The aspens are so beautiful in their fall colors.  Leaves have fallen onto the evergreens, making them look like Christmas trees with gold lights.  Then at the lake we saw two moose!  A word of caution...the trail is not marked once you go up.  If you aren't careful coming down you could end up away from your car.  Look for a fork to the left to go back down to the Willow Heights trailhead.",
118,2018-10-01,[''],"Nice short trail, great for trail running!",
119,2018-09-30,[''],Hike was great. It’s pretty short (I did not think it was steep as other reviews were) and my kids did great!  Probably took 30-40 min with many stops for breaks to get up. Very pretty this time of year,
120,2018-09-29,['hiking'],"Enjoyable family adventure! Would’ve loved to have come across some wildlife. No moose sighting! Beautiful fall colors. Bit of a climb going in, and the 3 year old had a great time sliding his way back out. We recommend!",
121,2018-09-24,[''],Very nice short hike.,
122,2018-09-23,[''],"Really nice, quick hike to a lake.  Beautiful fall colors and saw two moose.",
123,2018-09-20,[''],Awesome trail. It levels out after about 20 minutes. Lots of shade for the majority of it. Opens up to a beautiful field with trees if you want to hammock. Ducks at the lake are super friendly,
124,2018-09-19,[''],Love the trail. Steep at first but worth the climb. Smithing special about hiking through aspen forests. Ducks are very friendly at the lake. Only reason for the 4 rating is because it’s a busy trail.,
125,2018-09-17,[''],Really pretty and good trail,
126,2018-09-16,[''],"Pretty hike through aspen trees. The beginning is pretty steep, but the hike is so short it's really no big deal. The lake is pretty and if you sit there quietly you will see Moose! We saw 5!",
127,2018-09-13,[''],"Easy, scenic hike. First things first, parking is along the side of the road, but it’s easy to miss if you don’t know where it is. Although it’s a quick hike up, it’s really steep. Basically no switch backs and just straight up. Even so, only takes around 20 minutes. Once you get to the lake (which is small), the view is beautiful. Lots of aspens and a good view of Solitude. The ducks here are friendly, they swam right over to me, I assume because they expected food. I also saw 2 huge moose, and I went around 1. Good hike if you’re looking for something quick and scenic.",
128,2018-09-03,['hiking'],"We took a 3 yr old and 5 yr old. They could make it. The three yr old needed some help getting up the steep trail if you stay right going up from the trail head. We came down the other path that ends up in the houses and it seemed easier. Not many people and we saw 5 moose, deer and ducks. We went at about 5pm and came back down with very little light so we caught all the animals coming down for water. It was amazing!",
129,2018-08-27,[''],Nice hike through aspen groves to a small lake.  Some moderate but not too difficult inclines that our 5 & 7 year-olds were able to handle fine.  Trail head was easy to find and follow.,
130,2018-08-26,['hiking'],Nice & easy,
131,2018-08-25,['hiking'],"Thought it was really pretty with all the aspens. Make sure you take the time to pause and look around from time to time, you may be surprised what you see. 
Looking forward to experiencing this trail in the other seasons as well.",
132,2018-08-24,['hiking'],"Beautiful day, nice shady hike through aspen trees. Unfortunately no moose, but our kids loved the friendly ducks who are obviously used to being fed. Fairly steep at first, but flattens out for a nice walk around the lake.",
