,Date,Tags,Comments
46,2012-08-01,['hiking'],"Length: 6 miles round trip 
Elevation Gain: 1200 ft 
Highest Elevation: 8,780 ft 
Trailhead: 9 miles into Mill Creek Canyon, designated as ""Big Water"" trailhead 

There are actually several lakes named Dog Lake in Utah. There are even two in the Wasatch. But the Dog Lake of this article is the one where actual dogs are allowed to visit. 

This trail has several trailheads, both in Big Cottonwood Canyon and also in MillCreek Canyon. The Big Cottonwood side is for people only, the Mill Creek side allows other critters. It is a popular hike for various modes of travel (hiking, biking and horseback riding), and is also dog-friendly. 

You will have company on this trail, but if you are a dog lover, it will be fun to meet all the friendly four-legged hikers as you stroll up the trail. If you are one of the lucky ones who can bring your canine friends, please be a responsible pet owner and clean up after them. There are plastic bags provided at the beginning of the trail for scooping up the treasures your little ones leave behind. 

The hike is a a little longer than the others in the ""easy"" category, but the grade is an easy one which makes the three miles up not seem so long, and watching the dogs frolic in the lake, catching sticks and chasing each other around is an amusing site for the weary traveller. Take a seat on the shores and watch the dogs for awhile while you rest and prepare for the journey back down the mountain.

Today, I took the Big Water trail, which is longer but has a gentler slope.
 
For those of you who would like a nice hike, this is definitely one to consider.  That goes double if you want to hike with your dog. I saw people at all different levels of fitness on the trail. It took us around 1 hour and 30 minutes to reach the lake. Obviously, it takes longer if you go slower or stop more. But it really is a fairly easy hike.
 
Two tips: First, if it's hot, be sure to take enough water for you and your dog. Second, if you're taking a dog, go on an odd-numbered day. Dogs can be off-leash on odd-numbered days, and bike are allowed on the trail only on even-numbered days.
 
I realized that when I hike normally, I don't spend a whole lot of time at the destination. Today was a bit different. And the dogs loved it!
 
On the way back, we took a slightly different route near the bottom that took us to the upper parking lot. I then walked a short distance down the road to my car."
47,2019-09-02,['hiking'],
48,2019-08-31,['hiking'],
49,2019-08-29,['hiking'],
50,2019-08-28,['mountain biking'],
51,2019-08-27,['hiking'],
52,2019-08-25,['hiking'],
53,2019-08-23,['hiking'],
54,2019-08-22,['hiking'],
55,2019-08-18,['hiking'],
56,2019-08-17,['hiking'],
57,2019-08-17,['hiking'],
58,2019-08-16,['trail running'],
59,2019-08-15,['hiking'],
60,2019-08-15,['hiking'],
61,2019-08-14,['hiking'],
62,2019-08-13,['hiking'],
63,2019-08-13,['hiking'],
64,2019-08-11,['hiking'],
65,2019-08-11,['hiking'],
66,2019-08-09,['hiking'],
67,2019-08-04,['hiking'],
68,2019-08-03,['hiking'],
69,2019-08-03,['hiking'],
70,2019-08-02,['hiking'],
71,2019-08-01,['hiking'],
72,2019-07-30,['hiking'],
73,2019-07-30,['hiking'],
74,2019-07-28,['hiking'],
75,2019-07-28,['hiking'],
76,2019-07-27,['hiking'],
77,2019-07-23,['hiking'],
78,2019-07-19,['trail running'],
79,2019-07-17,['hiking'],
80,2019-07-15,['trail running'],
81,2019-07-14,['hiking'],
82,2019-07-11,[''],
83,2019-07-08,['hiking'],
84,2019-07-08,['hiking'],
85,2019-07-07,['hiking'],
86,2019-07-05,['hiking'],
87,2019-07-05,['hiking'],
88,2019-07-04,['hiking'],
89,2019-07-02,['hiking'],
90,2019-07-01,['hiking'],
91,2019-06-29,['hiking'],
92,2019-05-27,['hiking'],
93,2019-05-24,['hiking'],
94,2018-10-09,['hiking'],
95,2018-10-08,['hiking'],
96,2018-10-07,['hiking'],
97,2018-10-02,['hiking'],
98,2018-09-29,['hiking'],
99,2018-09-17,['hiking'],
100,2018-09-15,['hiking'],
101,2018-09-13,['hiking'],
102,2018-09-10,['hiking'],
103,2018-09-03,['hiking'],
104,2018-09-01,['hiking'],
105,2018-08-25,['hiking'],
106,2018-08-05,['hiking'],
107,2018-07-31,['hiking'],
108,2018-07-22,['hiking'],
109,2018-07-17,['hiking'],
110,2018-07-13,['hiking'],
111,2018-07-11,['hiking'],
112,2018-07-10,['hiking'],
113,2018-07-06,['hiking'],
114,2018-07-05,['hiking'],
115,2018-07-04,['mountain biking'],
116,2018-05-21,[''],
117,2017-10-13,['hiking'],
118,2017-10-05,['hiking'],
119,2017-09-13,['hiking'],
120,2017-09-11,[''],
121,2017-09-04,['hiking'],
122,2017-08-31,['hiking'],
123,2017-08-29,['hiking'],
124,2017-08-28,['trail running'],
125,2017-08-27,['hiking'],
126,2017-08-27,[''],
127,2017-08-24,['hiking'],
128,2017-07-26,['hiking'],
129,2017-07-23,['hiking'],
130,2017-07-20,['hiking'],
131,2017-07-09,['hiking'],
132,2016-10-15,['hiking'],
133,2016-09-29,['hiking'],
134,2016-09-20,[''],
135,2016-09-08,['hiking'],
136,2016-08-31,[''],
137,2016-08-07,[''],
138,2016-07-30,['hiking'],
139,2016-07-12,['fishing'],
140,2015-10-24,[''],
141,2015-08-23,[''],
142,2015-08-09,[''],
143,2013-08-09,['hiking'],
