,Date,Tags,Comments
19,2017-09-04,['hiking'],"We started up the saddle to 10,420 peak, it's very steep, but with plenty of shade to catch your breath. We intended to go to Lackawaxen lake but could not determine which way to go at the first fork. The only reason I gave this hike 4 out of 5 stars is because there are no trail signs or markers of any kind. We asked other hikers along the way and nobody knew which way to Lackawaxen lake. We did come to two trail forks, and I realize now the first fork after you descend the peak, if you stay right you will reach the lake not far after that, but it's up another peak and you can't see the lake from the fork. We stayed left and followed the power lines north (down) to bloods lake. Again, there was a fork in the trail right before bloods, unmarked and we stayed left. We got lucky and made the right choice. Next time I will know to take the first fork right to reach Lackawaxen. Hope this helps!"
20,2017-08-13,['hiking'],"We hiked up the ridge to reach lackawaxen then passed bloods lake on our way out. I was surprised the trail described here, which is the ridge, was rated as moderate. I definitely think it should be rated hard. The trail is very steep with loose rock the majority of the way. Beautiful views and the lake is great."
21,2017-07-30,['hiking'],"Beautiful mountaintop view and a perfect lake at the end. Definitely worth the climb. 
Unfortunately, some dog owners are not responsible enough to clean up after their fuzzy friends, and we saw many of their contributions around the otherwise pristine lake. 
Maybe dogs should be restricted to Bloods Lake, which is a circus of kids and dogs anyway."
22,2017-07-19,['hiking'],"Lackawaxen was so refreshing after passing Bloods. We saw 2 other hikers up there and they were on the other side of the lake. The hike out to Guardsmans trail was steep, but it is a short climb to the ridge. There is still snow in the shadows and a bit muddy in some places by the lake. Such a pretty setting."
23,2017-07-16,['hiking'],"Went to Lackawaxen Lake today. It's a steep climb to get to the base of Peak 420 and fairly steep on the other side down to the lake. But the lake itself was beautiful - quiet and peaceful. The same can't be said for Blood's Lake, which we passed on the way out. It was a big party: coolers, rafts in the water, even grills. If you're looking for solitude go to Lackawaxen. If you're looking for a party, go to Blood's."
24,2017-07-05,['hiking'],"This is my favorite local hike.  It has the best of everything, a beautiful 360 view, wildflowers, lakes surrounded by boulders and grassy meadows.  It's not too far of a hike and has a pretty good climb at the beginning, just enough to make you feel like you got a decent workout in.  The way back is mostly downhill if you head north east towards Bloods Lake instead of going back up peak 420.  I would suggest beginning by going up 420 peak the down to Lackawaxen then Bloods and out.  It's around 5 miles total.  Dogs are also allowed which is awesome!"
25,2017-06-11,[''],Pretty dangerous hike as you are on the edge of a cliff.
26,2016-09-09,['hiking'],"Lovely hike.  It was Labor day, and incredibly busy, but so was every other trailhead in Big Cottonwood, and 90% of the people were headed down to Bloods lake.  No mosquitoes noted today.  The trail is very steep, although we stayed on the ridge up and over the little peaklet at about 0.5 mi, and coming down that was probably the steepest part (note the the trail as marked goes around the peaklet, but this means you are on the SLC side of the divide and sometimes people will get after you for having a dog).  I ran up Clayton peak while my family continued down from the saddle at about 0.75 mi and continued S to Lake Lackawaxen, where I met them.  We had a lovely lunch there, then doubled back on the lower trail to pass Blood's lake on the way back to the trailhead.  There were plenty of people on the trail, but not really crowded expect the little section between Bloods and the trailhead.  I would highly encourage making the trip over to lackawaxen.  Although the ridge trail gains a lot more elevation, it gives you wonderful views both directions.  The lower trail was often shaded and very nice.  Oh, and given cooler temps the last few days, no more mosquitoes!"
27,2016-07-24,[''],Beautiful country. Lots of mosquitos. Will definitely return with my dog!
28,2016-07-17,[''],Lots of mosquitos so bring your spray but totally worth it. Go up over 10420 and the after you visit lackwaxsen you can loop down to blood lake of you mostly stay left. It can get a bit confusing and I wish there were trail signs! You can bring your dog which is way cool.
29,2016-07-10,[''],loads of people go to blood lake. keep going up the mountain and you might have this lake to yourself.
30,2016-07-09,['hiking'],So. Many. Mosquitos. 
31,2016-06-05,[''],Beautiful
32,2015-09-27,[''],"Loved this trail, had enough open spaces for my beagle to run and play while still having a point a to point b trail for me. She wasn't fond of crossing boulder field but cause I'm a pushover, I carried my beagle across to get to the lake (hahaha) 
I am from Salt Lake Valley and I have to drive through Big Cottonwood Canyon to get to the other side, this merited me a lot of dirty looks but no one stopped me for it. Just don't stop with your dog in the cottonwood canyons."
33,2015-09-05,['hiking'],"Took the long way to this one: Peak 10420, Clayton Peak, and then dropped down to the drainage and to Lackawaxen. This is a beautiful lake. I've been to it twice now and didn't see one person anywhere near the lake. Not a big one but what it lacks in size it makes up for in solitude, quiet and beautiful surroundings. There are a few good spots around the lake for tents. Definitely worth the trek up and over 10420. I always circle around to Bloods Lake on the way back. Much nicer going back that way than back up and over 10420."
34,2015-08-31,['hiking'],Great workout trail as it's ups ups ups n downs. Nice views and hard drops down into the lakes. Will test the stout of heart.
35,2014-10-26,['hiking'],"Trail climbs steeply up Peak 10,420 great views then drops down to a saddle. The trail to Lackawaxen lake drops down to the drainage on the left. When you get down the trail climbs to the right up to the lake. Its a small beautiful lake at the base of Clayton Peak. You can return the way you came or instead of climbing back to the saddle take the right fork and follow the trail to Bloods lake and return back to the trailhead."
36,2019-09-07,['hiking'],
37,2019-07-18,['hiking'],
38,2019-07-12,['hiking'],
39,2019-07-02,['hiking'],
40,2019-01-20,['hiking'],
41,2018-09-14,['hiking'],
42,2018-08-02,['hiking'],
43,2018-07-20,['hiking'],
44,2018-07-16,['hiking'],
45,2018-07-04,['hiking'],
46,2018-07-02,[''],
47,2018-06-11,[''],
48,2018-06-05,['hiking'],
49,2017-10-28,['hiking'],
50,2017-10-16,['hiking'],
51,2017-10-01,[''],
52,2017-08-24,['hiking'],
53,2017-08-18,['hiking'],
54,2017-08-18,['hiking'],
55,2017-08-13,['hiking'],
56,2017-08-09,['hiking'],
57,2017-07-31,[''],
58,2017-07-30,['hiking'],
59,2017-07-25,['hiking'],
60,2017-07-24,[''],
61,2017-07-03,[''],
62,2017-07-03,[''],
63,2017-06-28,['hiking'],
64,2017-05-09,['trail running'],
65,2017-05-01,['hiking'],
66,2016-10-23,[''],
67,2016-07-21,[''],
68,2015-07-29,['hiking'],
69,2015-06-20,['hiking'],
70,2013-07-23,['hiking'],
