,Trail_Name,Urls
58,Grove Creek Spring Indian Springs Trail,https://www.alltrails.com/trail/us/utah/grove-creek-spring-indian-springs-trail
59,Rob's Trail,https://www.alltrails.com/trail/us/utah/robs-trail
60,Dry Creek Trail,https://www.alltrails.com/trail/us/utah/dry-creek
61,Farmington Creek Trail: Upper Canyon Section,https://www.alltrails.com/trail/us/utah/farmington-creek-trail-upper-canyon-section
62,Ogden Canyon Overlook Trail,https://www.alltrails.com/trail/us/utah/ogden-canyon-overlook-trail
63,Prince of Wales Mine Trail,https://www.alltrails.com/trail/us/utah/prince-of-wales-mine-trail
64,Terraces: Elbow Fork Trail,https://www.alltrails.com/trail/us/utah/terraces-elbow-fork-trail
65,Hidden Valley Trail,https://www.alltrails.com/trail/us/utah/hidden-valley--2
66,Skull Crack Trail,https://www.alltrails.com/trail/us/utah/skull-crack-trail
67,Ruth Lake Trail,https://www.alltrails.com/trail/us/utah/ruth-lake
68,Murdock Peak via Old Red Pine Road,https://www.alltrails.com/trail/us/utah/murdock-peak-via-old-red-pine-road
69,Box Elder Peak Trail,https://www.alltrails.com/trail/us/utah/box-elder-peak-area
70,Kessler Peak Trail ,https://www.alltrails.com/trail/us/utah/kessler-peak-trail
71,Pittsburg Lake Trail,https://www.alltrails.com/trail/us/utah/pittsburg-lake-trail
72,Island Lake Trail,https://www.alltrails.com/trail/us/utah/island-lake-trail
73,Green Pond Trail,https://www.alltrails.com/trail/us/utah/green-pond-trail
74,Wasatch Crest Trail,https://www.alltrails.com/trail/us/utah/wasatch-crest-trail
75,Top of the Y,https://www.alltrails.com/trail/us/utah/top-of-the-y
76,Flag Rock via Patsy's Mine Trail,https://www.alltrails.com/trail/us/utah/flag-rock-via-patsys-mine-trail
77,Clyde Lake Trail,https://www.alltrails.com/trail/us/utah/clyde-lake-trail--2
78,Little Cottonwood Trail,https://www.alltrails.com/trail/us/utah/little-cottonwood-trail--3
79,Lackawaxen Lake Trail,https://www.alltrails.com/trail/us/utah/lackawaxen-lake-trail
80,Jardine Juniper,https://www.alltrails.com/trail/us/utah/jardine-juniper
81,Monte Cristo via Cardiff Pass Trail,https://www.alltrails.com/trail/us/utah/monte-cristo-via-cardiff-pass-trail
82,Beus Canyon Trail,https://www.alltrails.com/trail/us/utah/beus-canyon-trail
83,Mineral Fork Trail,https://www.alltrails.com/trail/us/utah/mineral-fork-trail
84,Desolation Trail - Millcreek Portion,https://www.alltrails.com/trail/us/utah/desolation-trail-millcreek-portion
85,Nobletts Creek Trail,https://www.alltrails.com/trail/us/utah/nobletts-creek-trail
86,Sunset Peak via Brighton Lakes Trail,https://www.alltrails.com/trail/us/utah/sunset-peak-via-brighton-lakes-trail
87,Birdsong Trail,https://www.alltrails.com/trail/us/utah/birdsong-trail
88,Dry Canyon Trail,https://www.alltrails.com/trail/us/utah/dry-canyon
89,Adam's Cabin Trail,https://www.alltrails.com/trail/us/utah/adams-cabin-trail
90,Fehr Lake Trail,https://www.alltrails.com/trail/us/utah/fehr-lake-trail
91,Spanish Fork Peak via Maple Canyon,https://www.alltrails.com/trail/us/utah/spanish-fork-peak-via-maple-canyon
92,Centerville Canyon Trail,https://www.alltrails.com/trail/us/utah/centerville-canyon-trail
93,"Black Mountain via Valley View, Twin Peaks, and Little Black Mountain Trail",https://www.alltrails.com/trail/us/utah/black-mountain-via-valley-view-twin-peaks-and-little-black-mountain-trail
94,Bloomington Lake Trail,https://www.alltrails.com/trail/us/idaho/bloomington-lake-trail
95,Taylor Canyon Trail,https://www.alltrails.com/trail/us/utah/taylor-canyon-trail--2
96,Slate Canyon Loop Trail,https://www.alltrails.com/trail/us/utah/slate-canyon-loop-trail
97,Beartrap Fork Trail,https://www.alltrails.com/trail/us/utah/beartrap-fork-trail
98,Elbow Fork to Lambs Canyon Pass,https://www.alltrails.com/trail/us/utah/elbow-fork-to-lambs-canyon-pass
99,Sugarloaf Peak and Cecret Lake,https://www.alltrails.com/trail/us/utah/sugarloaf-peak
100,Tony Grove Nature Trail,https://www.alltrails.com/trail/us/utah/tony-grove-nature-trail
101,Silver Flat Lake Trail,https://www.alltrails.com/trail/us/utah/silver-flat-lake-trail
102,Snowbird Ridge Twin Peaks Trail,https://www.alltrails.com/trail/us/utah/snowbird-ridge-twin-peaks-trail
103,Clayton Peak via Guardsman Pass Trail,https://www.alltrails.com/trail/us/utah/clayton-peak-via-guardsman-pass-trail
104,Bonneville Shoreline Trail: Fernwood Recreation Area to East Mountain Wilderness Park,https://www.alltrails.com/trail/us/utah/bonneville-shoreline-trail-fernwood-recreation-area-to-east-mountain-wilderness-park
105,Notch Mountain Trail to Trial Lake,https://www.alltrails.com/trail/us/utah/notch-mountain-trail-to-trial-lake
106,Lone Peak Area to Lake Hardy,https://www.alltrails.com/trail/us/utah/lone-peak-area-via-lake-hardy
107,Ben Lomond Peak via North Skyline Trail,https://www.alltrails.com/trail/us/utah/ben-lomond-peak-via-north-skyline-trail
108,Provo Peak,https://www.alltrails.com/trail/us/utah/provo-peak
109,Guardsmans Pass Trail,https://www.alltrails.com/trail/us/utah/guardsmans-pass-trail
110,Ogden River Parkway Trail,https://www.alltrails.com/trail/us/utah/ogden-river-parkway-trail
111,Logan River Trail: Canyon Entrance Park,https://www.alltrails.com/trail/us/utah/logan-river-trail
112,Parrish Creek Pictographs Trail,https://www.alltrails.com/trail/us/utah/parrish-creek-pictographs-trail
113,Mount Wolverine via Brighton Lakes Trail,https://www.alltrails.com/trail/us/utah/mount-wolverine-via-brighton-lakes-trail
114,Porter Fork Trail,https://www.alltrails.com/trail/us/utah/porter-fork-trail
115,Emigration Canyon Ridgeline Trail,https://www.alltrails.com/trail/us/utah/emigration-canyon-ridgeline-trail
116,Limber Pine Trail,https://www.alltrails.com/trail/us/utah/limber-pine-trail
117,Wasatch Skyline Drive OHV Route,https://www.alltrails.com/trail/us/utah/wasatch-skyline-drive
118,Sardine Peak Ogden Outlook Trail,https://www.alltrails.com/trail/us/utah/sardine-peak-ogden-outlook-trail
119,Cold Water Canyon Trail,https://www.alltrails.com/trail/us/utah/cold-water-canyon-trail
120,Green Canyon,https://www.alltrails.com/trail/us/utah/green-canyon
121,Baer Creek Trail,https://www.alltrails.com/trail/us/utah/bair-creek-trail
122,Wheeler Creek and Art Nord Trail Loop,https://www.alltrails.com/trail/us/utah/wheeler-creek-and-art-nord-trail-loop
123,Emigration Canyon Miners Trail,https://www.alltrails.com/trail/us/utah/emigration-canyon-miners-trail
124,Burch Hollow Trail,https://www.alltrails.com/trail/us/utah/burch-hollow-trail
125,Wall Lake,https://www.alltrails.com/trail/us/utah/wall-lake
126,Great Western Trail: Guardsman Pass to Clayton Peak,https://www.alltrails.com/trail/us/utah/great-western-trail-guardsman-pass-to-clayton-peak
127,10420 Peak,https://www.alltrails.com/trail/us/utah/10420-peak
128,Mahogany Mountain North Peak Trail,https://www.alltrails.com/trail/us/utah/mahogany-mountain-north-summit-trail
129,Bonneville Shoreline Trail (Mt Ogden Section),https://www.alltrails.com/trail/us/utah/bonneville-shoreline-trail-mt-ogden-section
130,North Skyline Trail,https://www.alltrails.com/trail/us/utah/north-skyline-trail
131,Loafer Mountain Trail,https://www.alltrails.com/trail/us/utah/loafer-mountain-trail
132,"The ""G"" Hike",https://www.alltrails.com/trail/us/utah/the-g-hike
133,Lake Mary via Brighton Lakes and Catherine Pass Trail,https://www.alltrails.com/trail/us/utah/lake-mary-via-brighton-lakes-and-catherine-pass-trail
134,Lewis Peak Via South Skyline Trail,https://www.alltrails.com/trail/us/utah/lewis-peak-via-south-skyline-trail--2
135,Francis Peak Trail,https://www.alltrails.com/trail/us/utah/francis-peak-trail
136,Mormon Pioneer Trail,https://www.alltrails.com/trail/us/utah/mormon-pioneer-trail
137,Peruvian Gulch via Blackjack Trail,https://www.alltrails.com/trail/us/utah/peruvian-gulch-blackjack-trail
138,Cascade Saddle Trail,https://www.alltrails.com/trail/us/utah/cascade-saddle-trail
139,Grandview Peak Via Great Western Trail,https://www.alltrails.com/trail/us/utah/grandview-peak-via-great-western-trail
140,Solitude Lake to Twin Lake Loop,https://www.alltrails.com/trail/us/utah/solitude-lake-to-twin-lake-loop
141,Cherry Canyon Trail,https://www.alltrails.com/trail/us/utah/cherry-canyon-trail
142,Barrier Free Trail,https://www.alltrails.com/trail/us/utah/barrier-free-trail
143,Sundance Trails,https://www.alltrails.com/trail/us/utah/sundance-trails
144,Spring Canyon Trail,https://www.alltrails.com/trail/us/utah/spring-canyon-trail
145,Pipeline Trail to Elbow Fork,https://www.alltrails.com/trail/us/utah/pipeline-trail-to-elbow-fork
146,Powerhouse Overlook,https://www.alltrails.com/trail/us/utah/powerhouse-overlook
147,Salamander Flat Trail 150,https://www.alltrails.com/trail/us/utah/salamander-flat-trail-150
148,Mill A Basin Trail,https://www.alltrails.com/trail/us/utah/mill-a-basin-trail
149,Dog Lake via Little Water Trail,https://www.alltrails.com/trail/us/utah/dog-lake-via-little-water-trail
150,Malans Peak Hike from 29th St Trailhead,https://www.alltrails.com/trail/us/utah/malans-peak-hike-from-29th-st-trailhead
151,"Horse Flat, Horse Spring and Lame Horse Trail Loop",https://www.alltrails.com/trail/us/utah/horse-flat-horse-spring-and-lame-horse-trail-loop
152,Battle Creek Lookout and Curly Springs via Bonneville Shoreline Trailhead,https://www.alltrails.com/trail/us/utah/battle-creek-lookout-and-curly-springs-via-bonneville-shoreline-trailhead
153,Big East Lake,https://www.alltrails.com/trail/us/utah/big-east-lake
154,Nebo Loop National Scenic Byway,https://www.alltrails.com/trail/us/utah/nebo-loop-national-scenic-byway
155,Clegg Lake and Notch Lake,https://www.alltrails.com/trail/us/utah/notch-lake
156,Bowman Fork to Gobblers Knob Trail,https://www.alltrails.com/trail/us/utah/bowman-fork-to-gobblers-knob-trail
157,Maple Canyon Arch Trail,https://www.alltrails.com/trail/us/utah/maple-canyon-arch-trail
158,Primrose Overlook and Horse Spring Trail Loop,https://www.alltrails.com/trail/us/utah/primrose-overlook-and-horse-spring-trail-loop
159,Bourbon Lake,https://www.alltrails.com/trail/us/utah/bourbon-lake
160,Inspiration Point OHV Route,https://www.alltrails.com/trail/us/utah/inspiration-point-drive
161,Middle Fork Wheeler Creek,https://www.alltrails.com/trail/us/utah/middle-fork-wheeler-creek
162,Ridge Trail 157,https://www.alltrails.com/trail/us/utah/ridge-trail-157
163,Snake Creek Pass and Clayton Peak,https://www.alltrails.com/trail/us/utah/snake-creek-pass-clayton-peak-trail
164,Cliff Lake via Clyde Lake Trail,https://www.alltrails.com/trail/us/utah/cliff-lake-via-clyde-lake-trail
165,Valley View and Twin Peaks Trails Loop,https://www.alltrails.com/trail/us/utah/valley-view-and-twin-peaks-trails-loop
166,Fernwood Cabin,https://www.alltrails.com/trail/us/utah/fernwood-cabin--2
167,Hobbs Canyon Trail,https://www.alltrails.com/trail/us/utah/hobbs-canyon-trail
